exec_seq	query	run_index	kind	busy_us	idle_us	line_no
225	job_movie_link_bridge	27	sample	949.0	3.83	92798819
226	job_movie_link_bridge	28	sample	877.0	5.33	92798841
227	job_movie_link_bridge	29	sample	848.0	3.79	92798863
228	job_movie_link_bridge	30	sample	865.0	3.92	92798885
229	job_movie_link_bridge	31	sample	850.0	3.88	92798907
230	job_movie_link_bridge	32	sample	845.0	3.88	92798929
231	job_q33_linked_series_companies	0	prepare	145.0	7.87	92798951
232	job_q33_linked_series_companies	1	warmup	76.2	4.54	92798963
233	job_q33_linked_series_companies	2	warmup	76.0	4.08	92798975
234	job_q33_linked_series_companies	3	sample	71.8	4.62	92798987
235	job_q33_linked_series_companies	4	sample	67.3	4.0	92798999
236	job_q33_linked_series_companies	5	sample	66.5	4.0	92799011
237	job_q33_linked_series_companies	6	sample	66.2	3.92	92799023
238	job_q33_linked_series_companies	7	sample	64.7	3.83	92799035
239	job_q33_linked_series_companies	8	sample	64.4	3.83	92799047
240	job_q33_linked_series_companies	9	sample	87.2	3.83	92799059
241	job_q33_linked_series_companies	10	sample	71.8	3.88	92799071
242	job_q33_linked_series_companies	11	sample	68.5	3.79	92799083
243	job_q33_linked_series_companies	12	sample	75.6	8.75	92799095
244	job_q33_linked_series_companies	13	sample	71.4	3.92	92799107
245	job_q33_linked_series_companies	14	sample	76.6	3.83	92799119
246	job_q33_linked_series_companies	15	sample	68.7	3.88	92799131
247	job_q33_linked_series_companies	16	sample	64.1	3.83	92799143
248	job_q33_linked_series_companies	17	sample	73.1	3.79	92799155
249	job_q33_linked_series_companies	18	sample	68.1	3.88	92799167
250	job_q33_linked_series_companies	19	sample	83.3	4.71	92799179
251	job_q33_linked_series_companies	20	sample	105.0	4.42	92799191
252	job_q33_linked_series_companies	21	sample	109.0	7.08	92799203
253	job_q33_linked_series_companies	22	sample	67.8	4.17	92799215
254	job_q33_linked_series_companies	23	sample	68.0	3.87	92799227
255	job_q33_linked_series_companies	24	sample	66.0	3.92	92799239
256	job_q33_linked_series_companies	25	sample	65.1	4.04	92799251
257	job_q33_linked_series_companies	26	sample	65.4	3.88	92799263
258	job_q33_linked_series_companies	27	sample	64.6	3.92	92799275
259	job_q33_linked_series_companies	28	sample	65.4	3.92	92799287
260	job_q33_linked_series_companies	29	sample	64.8	3.92	92799299
261	job_q33_linked_series_companies	30	sample	65.2	4.0	92799311
262	job_q33_linked_series_companies	31	sample	65.1	3.87	92799323
263	job_q33_linked_series_companies	32	sample	65.0	4.04	92799335
